Height,Weight,Kindness,IQ,Smoker
197.26,88.0,1.0,185.0,0.0
159.26,154.0,0.0,54.0,1.0
165.19,114.0,1.0,54.0,1.0
208.6,69.0,1.0,95.0,0.0
151.62,35.0,1.0,77.0,1.0
150.24,38.0,0.0,64.0,1.0
184.85,66.0,1.0,171.0,0.0
190.13,54.0,1.0,199.0,0.0
153.58,192.0,0.0,102.0,1.0
174.62,66.0,1.0,147.0,0.0
162.37,49.0,1.0,52.0,1.0
155.68,137.0,1.0,57.0,1.0
198.06,99.0,1.0,185.0,0.0
161.69,40.0,0.0,111.0,0.0
174.66,71.0,1.0,200.0,0.0
193.53,94.0,1.0,134.0,0.0
169.83,38.0,0.0,94.0,0.0
158.48,38.0,1.0,53.0,1.0
191.68,58.0,1.0,117.0,0.0
168.08,147.0,0.0,99.0,1.0
168.98,151.0,0.0,68.0,1.0
203.93,66.0,1.0,85.0,0.0
164.45,47.0,0.0,87.0,1.0
168.14,148.0,0.0,69.0,1.0
207.53,63.0,1.0,174.0,0.0
165.99,40.0,1.0,114.0,0.0
156.7,40.0,0.0,46.0,0.0
202.3,68.0,1.0,182.0,0.0
183.34,82.0,1.0,104.0,0.0
154.76,173.0,1.0,33.0,0.0
209.22,74.0,1.0,122.0,0.0
156.08,47.0,1.0,37.0,0.0
161.56,42.0,1.0,54.0,0.0
170.17,99.0,1.0,89.0,0.0
168.16,143.0,1.0,97.0,0.0
177.92,52.0,1.0,121.0,0.0
180.55,68.0,1.0,140.0,0.0
150.47,175.0,1.0,83.0,0.0
161.13,200.0,1.0,90.0,0.0
160.19,85.0,1.0,197.0,0.0
166.83,48.0,1.0,33.0,1.0
168.91,43.0,1.0,68.0,1.0
182.69,80.0,1.0,197.0,0.0
159.45,146.0,0.0,101.0,1.0
166.93,39.0,1.0,31.0,1.0
162.49,81.0,1.0,100.0,0.0
150.1,39.0,0.0,94.0,1.0
164.09,134.0,0.0,54.0,1.0
163.35,55.0,1.0,130.0,0.0
201.43,59.0,1.0,97.0,0.0
160.17,39.0,1.0,89.0,0.0
186.77,56.0,1.0,177.0,0.0
162.21,48.0,1.0,78.0,1.0
161.1,46.0,0.0,82.0,1.0
194.9,74.0,1.0,190.0,0.0
153.84,39.0,1.0,80.0,1.0
194.6,81.0,1.0,131.0,0.0
166.39,84.0,1.0,87.0,0.0
152.08,141.0,0.0,88.0,1.0
168.19,35.0,1.0,51.0,0.0
182.44,97.0,1.0,91.0,0.0
160.41,46.0,1.0,48.0,1.0
156.03,35.0,1.0,51.0,1.0
167.78,88.0,1.0,111.0,0.0
154.09,50.0,0.0,79.0,0.0
164.89,35.0,0.0,44.0,0.0
199.5,76.0,1.0,110.0,0.0
169.18,49.0,0.0,119.0,1.0
158.29,182.0,1.0,75.0,1.0
164.61,51.0,1.0,200.0,0.0
190.08,77.0,1.0,141.0,0.0
164.44,36.0,1.0,45.0,0.0
176.75,72.0,1.0,154.0,0.0
161.66,149.0,0.0,72.0,1.0
167.68,45.0,1.0,58.0,0.0
182.99,83.0,1.0,135.0,0.0
166.39,190.0,1.0,85.0,1.0
208.12,98.0,1.0,158.0,0.0
166.28,83.0,1.0,194.0,0.0
152.81,112.0,1.0,108.0,0.0
166.03,44.0,0.0,107.0,0.0
188.16,88.0,1.0,155.0,0.0
165.2,153.0,1.0,70.0,0.0
164.72,184.0,1.0,36.0,1.0
179.12,56.0,1.0,187.0,0.0
156.72,49.0,1.0,88.0,0.0
160.18,44.0,0.0,116.0,1.0
174.33,98.0,1.0,116.0,0.0
163.39,38.0,0.0,71.0,1.0
158.56,42.0,1.0,107.0,1.0
183.06,94.0,1.0,163.0,0.0
172.99,90.0,1.0,184.0,0.0
157.02,143.0,0.0,33.0,0.0
170.21,91.0,1.0,188.0,0.0
